index,name,description,hit_die,proficiency_choices/0/choose,proficiency_choices/0/type,proficiency_choices/0/from/0/url,proficiency_choices/0/from/0/name,proficiency_choices/0/from/1/url,proficiency_choices/0/from/1/name,proficiency_choices/0/from/2/url,proficiency_choices/0/from/2/name,proficiency_choices/0/from/3/url,proficiency_choices/0/from/3/name,proficiency_choices/0/from/4/url,proficiency_choices/0/from/4/name,proficiency_choices/0/from/5/url,proficiency_choices/0/from/5/name,proficiencies/0/name,proficiencies/0/url,proficiencies/1/name,proficiencies/1/url,proficiencies/2/name,proficiencies/2/url,proficiencies/3/name,proficiencies/3/url,proficiencies/4/name,proficiencies/4/url,saving_throws/0/name,saving_throws/0/url,saving_throws/1/name,saving_throws/1/url,starting_equipment/url,starting_equipment/class,class_levels/url,class_levels/class,subclasses/0/url,subclasses/0/name,url,proficiency_choices/0/from/6/url,proficiency_choices/0/from/6/name,proficiency_choices/0/from/7/url,proficiency_choices/0/from/7/name,proficiency_choices/0/from/8/url,proficiency_choices/0/from/8/name,proficiency_choices/0/from/9/url,proficiency_choices/0/from/9/name,proficiency_choices/0/from/10/url,proficiency_choices/0/from/10/name,proficiency_choices/0/from/11/url,proficiency_choices/0/from/11/name,proficiency_choices/0/from/12/url,proficiency_choices/0/from/12/name,proficiency_choices/0/from/13/url,proficiency_choices/0/from/13/name,proficiency_choices/0/from/14/url,proficiency_choices/0/from/14/name,proficiency_choices/0/from/15/url,proficiency_choices/0/from/15/name,proficiency_choices/0/from/16/url,proficiency_choices/0/from/16/name,proficiency_choices/0/from/17/url,proficiency_choices/0/from/17/name,proficiency_choices/1/choose,proficiency_choices/1/type,proficiency_choices/1/from/0/url,proficiency_choices/1/from/0/name,proficiency_choices/1/from/1/url,proficiency_choices/1/from/1/name,proficiency_choices/1/from/2/url,proficiency_choices/1/from/2/name,proficiency_choices/1/from/3/url,proficiency_choices/1/from/3/name,proficiency_choices/1/from/4/url,proficiency_choices/1/from/4/name,proficiency_choices/1/from/5/url,proficiency_choices/1/from/5/name,proficiency_choices/1/from/6/url,proficiency_choices/1/from/6/name,proficiency_choices/1/from/7/url,proficiency_choices/1/from/7/name,proficiency_choices/1/from/8/url,proficiency_choices/1/from/8/name,proficiency_choices/1/from/9/url,proficiency_choices/1/from/9/name,proficiencies/5/name,proficiencies/5/url,spellcasting/url,spellcasting/class,proficiencies/6/name,proficiencies/6/url,proficiencies/7/name,proficiencies/7/url,proficiencies/8/name,proficiencies/8/url,proficiencies/9/name,proficiencies/9/url,proficiencies/10/name,proficiencies/10/url,proficiencies/11/name,proficiencies/11/url,proficiencies/12/name,proficiencies/12/url,proficiencies/13/name,proficiencies/13/url,proficiency_choices/0/from/18/url,proficiency_choices/0/from/18/name,proficiency_choices/2/choose,proficiency_choices/2/type,proficiency_choices/2/from/0/url,proficiency_choices/2/from/0/name,proficiency_choices/2/from/1/url,proficiency_choices/2/from/1/name,proficiency_choices/2/from/2/url,proficiency_choices/2/from/2/name,proficiency_choices/2/from/3/url,proficiency_choices/2/from/3/name,proficiency_choices/2/from/4/url,proficiency_choices/2/from/4/name,proficiency_choices/2/from/5/url,proficiency_choices/2/from/5/name
1,Barbarian,"Barbarians come alive in the chaos of combat. They can enter a berserk state where rage takes over, giving them superhuman strength and resilience. A barbarian can draw on this reservoir of fury only a few times without resting, but those few rages are usually sufficient to defeat whatever threats arise.",12,2,proficiencies,http://www.dnd5eapi.co/api/proficiencies/106,Skill: Animal Handling,http://www.dnd5eapi.co/api/proficiencies/108,Skill: Athletics,http://www.dnd5eapi.co/api/proficiencies/112,Skill: Intimidation,http://www.dnd5eapi.co/api/proficiencies/115,Skill: Nature,http://www.dnd5eapi.co/api/proficiencies/116,Skill: Perception,http://www.dnd5eapi.co/api/proficiencies/122,Skill: Survival,Light armor,http://www.dnd5eapi.co/api/proficiencies/1,Medium armor,http://www.dnd5eapi.co/api/proficiencies/2,Shields,http://www.dnd5eapi.co/api/proficiencies/18,Simple weapons,http://www.dnd5eapi.co/api/proficiencies/19,Martial weapons,http://www.dnd5eapi.co/api/proficiencies/20,STR,http://www.dnd5eapi.co/api/ability-scores/1,CON,http://www.dnd5eapi.co/api/ability-scores/3,http://www.dnd5eapi.co/api/startingequipment/1,Barbarian,http://www.dnd5eapi.co/api/classes/barbarian/levels,Barbarian,http://www.dnd5eapi.co/api/subclasses/1,Berserker,http://www.dnd5eapi.co/api/classes/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bard,,8,3,proficiencies,http://www.dnd5eapi.co/api/proficiencies/105,Skill: Acrobatics,http://www.dnd5eapi.co/api/proficiencies/106,Skill: Animal Handling,http://www.dnd5eapi.co/api/proficiencies/107,Skill: Arcana,http://www.dnd5eapi.co/api/proficiencies/108,Skill: Athletics,http://www.dnd5eapi.co/api/proficiencies/109,Skill: Deception,http://www.dnd5eapi.co/api/proficiencies/110,Skill: History,Light armor,http://www.dnd5eapi.co/api/proficiencies/1,Simple weapons,http://www.dnd5eapi.co/api/proficiencies/19,Longswords,http://www.dnd5eapi.co/api/proficiencies/42,Rapiers,http://www.dnd5eapi.co/api/proficiencies/46,Shortswords,http://www.dnd5eapi.co/api/proficiencies/48,DEX,http://www.dnd5eapi.co/api/ability-scores/2,CHA,http://www.dnd5eapi.co/api/ability-scores/6,http://www.dnd5eapi.co/api/startingequipment/2,Bard,http://www.dnd5eapi.co/api/classes/bard/levels,Bard,http://www.dnd5eapi.co/api/subclasses/2,Lore,http://www.dnd5eapi.co/api/classes/2,http://www.dnd5eapi.co/api/proficiencies/111,Skill: Insight,http://www.dnd5eapi.co/api/proficiencies/112,Skill: Intimidation,http://www.dnd5eapi.co/api/proficiencies/113,Skill: Investigation,http://www.dnd5eapi.co/api/proficiencies/114,Skill: Medicine,http://www.dnd5eapi.co/api/proficiencies/115,Skill: Nature,http://www.dnd5eapi.co/api/proficiencies/116,Skill: Perception,http://www.dnd5eapi.co/api/proficiencies/117,Skill: Performance,http://www.dnd5eapi.co/api/proficiencies/118,Skill: Persuasion,http://www.dnd5eapi.co/api/proficiencies/119,Skill: Religion,http://www.dnd5eapi.co/api/proficiencies/120,Skill: Sleight of Hand,http://www.dnd5eapi.co/api/proficiencies/121,Skill: Stealth,http://www.dnd5eapi.co/api/proficiencies/122,Skill: Survival,3,proficiencies,http://www.dnd5eapi.co/api/proficiencies/81,Bagpipes,http://www.dnd5eapi.co/api/proficiencies/82,Drum,http://www.dnd5eapi.co/api/proficiencies/83,Dulcimer,http://www.dnd5eapi.co/api/proficiencies/84,Flute,http://www.dnd5eapi.co/api/proficiencies/85,Lute,http://www.dnd5eapi.co/api/proficiencies/86,Lyre,http://www.dnd5eapi.co/api/proficiencies/87,Horn,http://www.dnd5eapi.co/api/proficiencies/88,Pan flute,http://www.dnd5eapi.co/api/proficiencies/89,Shawm,http://www.dnd5eapi.co/api/proficiencies/90,Viol,"Crossbows, hand",http://www.dnd5eapi.co/api/proficiencies/54,http://www.dnd5eapi.co/api/spellcasting/1,Bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cleric,"Divine magic, as the name suggests, is the power of the gods, flowing from them into the world. Clerics are conduits for that power, manifesting it as miraculous effects. The gods don't grant this power to everyone who seeks it, but only to those chosen to fulfill a high calling. Harnessing divine magic doesn't rely on study or training. A cleric might learn formulaic prayers and ancient rites, but the ability to cast cleric spells relies on devotion and an intuitive sense of a deity's wishes. Clerics combine the helpful magic of healing and inspiring their allies with spells that harm and hinder foes. They can provoke awe and dread, lay curses of plague or poison, and even call down flames from heaven to consume their enemies. For those evildoers who will benefit most from a mace to the head, clerics depend on their combat training to let them wade into melee with the power of the gods on their side.",8,2,proficiencies,http://www.dnd5eapi.co/api/proficiencies/110,Skill: History,http://www.dnd5eapi.co/api/proficiencies/111,Skill: Insight,http://www.dnd5eapi.co/api/proficiencies/114,Skill: Medicine,http://www.dnd5eapi.co/api/proficiencies/118,Skill: Persuasion,http://www.dnd5eapi.co/api/proficiencies/119,Skill: Religion,,,Light armor,http://www.dnd5eapi.co/api/proficiencies/1,Medium armor,http://www.dnd5eapi.co/api/proficiencies/2,Shields,http://www.dnd5eapi.co/api/proficiencies/18,Simple weapons,http://www.dnd5eapi.co/api/proficiencies/19,,,WIS,http://www.dnd5eapi.co/api/ability-scores/5,CHA,http://www.dnd5eapi.co/api/ability-scores/6,http://www.dnd5eapi.co/api/startingequipment/3,Cleric,http://www.dnd5eapi.co/api/classes/cleric/levels,Cleric,http://www.dnd5eapi.co/api/subclasses/3,Life,http://www.dnd5eapi.co/api/classes/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/spellcasting/2,Cleric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Druid,,8,2,proficiencies,http://www.dnd5eapi.co/api/proficiencies/106,Skill: Animal Handling,http://www.dnd5eapi.co/api/proficiencies/107,Skill: Arcana,http://www.dnd5eapi.co/api/proficiencies/111,Skill: Insight,http://www.dnd5eapi.co/api/proficiencies/114,Skill: Medicine,http://www.dnd5eapi.co/api/proficiencies/115,Skill: Nature,http://www.dnd5eapi.co/api/proficiencies/116,Skill: Perception,Light armor,http://www.dnd5eapi.co/api/proficiencies/1,Medium armor,http://www.dnd5eapi.co/api/proficiencies/2,Shields,http://www.dnd5eapi.co/api/proficiencies/18,Clubs,http://www.dnd5eapi.co/api/proficiencies/21,Daggers,http://www.dnd5eapi.co/api/proficiencies/22,INT,http://www.dnd5eapi.co/api/ability-scores/4,WIS,http://www.dnd5eapi.co/api/ability-scores/5,http://www.dnd5eapi.co/api/startingequipment/4,Druid,http://www.dnd5eapi.co/api/classes/druid/levels,Druid,http://www.dnd5eapi.co/api/subclasses/4,Land,http://www.dnd5eapi.co/api/classes/4,http://www.dnd5eapi.co/api/proficiencies/119,Skill: Religion,http://www.dnd5eapi.co/api/proficiencies/122,Skill: Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Javelins,http://www.dnd5eapi.co/api/proficiencies/25,http://www.dnd5eapi.co/api/spellcasting/3,Druid,Maces,http://www.dnd5eapi.co/api/proficiencies/27,Quarterstaffs,http://www.dnd5eapi.co/api/proficiencies/28,Sickles,http://www.dnd5eapi.co/api/proficiencies/29,Spears,http://www.dnd5eapi.co/api/proficiencies/30,Darts,http://www.dnd5eapi.co/api/proficiencies/32,Slings,http://www.dnd5eapi.co/api/proficiencies/34,Scimitars,http://www.dnd5eapi.co/api/proficiencies/47,Herbalism Kit,http://www.dnd5eapi.co/api/proficiencies/93,,,,,,,,,,,,,,,,
5,Fighter,,10,2,proficiencies,http://www.dnd5eapi.co/api/proficiencies/105,Skill: Acrobatics,http://www.dnd5eapi.co/api/proficiencies/106,Skill: Animal Handling,http://www.dnd5eapi.co/api/proficiencies/108,Skill: Athletics,http://www.dnd5eapi.co/api/proficiencies/110,Skill: History,http://www.dnd5eapi.co/api/proficiencies/111,Skill: Insight,http://www.dnd5eapi.co/api/proficiencies/112,Skill: Intimidation,All armor,http://www.dnd5eapi.co/api/proficiencies/4,Shields,http://www.dnd5eapi.co/api/proficiencies/18,Simple weapons,http://www.dnd5eapi.co/api/proficiencies/19,Martial weapons,http://www.dnd5eapi.co/api/proficiencies/20,,,STR,http://www.dnd5eapi.co/api/ability-scores/1,CON,http://www.dnd5eapi.co/api/ability-scores/3,http://www.dnd5eapi.co/api/startingequipment/5,Fighter,http://www.dnd5eapi.co/api/classes/fighter/levels,Fighter,http://www.dnd5eapi.co/api/subclasses/5,Champion,http://www.dnd5eapi.co/api/classes/5,http://www.dnd5eapi.co/api/proficiencies/116,Skill: Perception,http://www.dnd5eapi.co/api/proficiencies/122,Skill: Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Monk,"Monks make careful study of a magical energy that most monastic traditions call ki. Monks harness this power within themselves to create magical effects and exceed their bodies' physical capabilities, and some of their special attacks can hinder the flow of ki in their opponents.",8,1,proficiencies,http://www.dnd5eapi.co/api/proficiencies/58,Alchemist's supplies,http://www.dnd5eapi.co/api/proficiencies/59,Brewer's supplies,http://www.dnd5eapi.co/api/proficiencies/60,Calligrapher's supplies,http://www.dnd5eapi.co/api/proficiencies/61,Carpenter's tools,http://www.dnd5eapi.co/api/proficiencies/62,Cartographer's tools,http://www.dnd5eapi.co/api/proficiencies/63,Cobbler's tools,Simple weapons,http://www.dnd5eapi.co/api/proficiencies/19,Shortswords,http://www.dnd5eapi.co/api/proficiencies/48,,,,,,,STR,http://www.dnd5eapi.co/api/ability-scores/1,DEX,http://www.dnd5eapi.co/api/ability-scores/2,http://www.dnd5eapi.co/api/startingequipment/6,Monk,http://www.dnd5eapi.co/api/classes/monk/levels,Monk,http://www.dnd5eapi.co/api/subclasses/6,Open Hand,http://www.dnd5eapi.co/api/classes/6,http://www.dnd5eapi.co/api/proficiencies/64,Cook's utensils,http://www.dnd5eapi.co/api/proficiencies/65,Glassblower's tools,http://www.dnd5eapi.co/api/proficiencies/66,Jeweler's tools,http://www.dnd5eapi.co/api/proficiencies/67,Leatherworker's tools,http://www.dnd5eapi.co/api/proficiencies/68,Mason's tools,http://www.dnd5eapi.co/api/proficiencies/69,Painter's supplies,http://www.dnd5eapi.co/api/proficiencies/70,Potter's tools,http://www.dnd5eapi.co/api/proficiencies/71,Smith's tools,http://www.dnd5eapi.co/api/proficiencies/72,Tinker's tools,http://www.dnd5eapi.co/api/proficiencies/73,Weaver's tools,http://www.dnd5eapi.co/api/proficiencies/74,Woodcarver's tools,http://www.dnd5eapi.co/api/proficiencies/75,Disguise kit,1,proficiencies,http://www.dnd5eapi.co/api/proficiencies/81,Bagpipes,http://www.dnd5eapi.co/api/proficiencies/82,Drum,http://www.dnd5eapi.co/api/proficiencies/83,Dulcimer,http://www.dnd5eapi.co/api/proficiencies/84,Flute,http://www.dnd5eapi.co/api/proficiencies/85,Lute,http://www.dnd5eapi.co/api/proficiencies/86,Lyre,http://www.dnd5eapi.co/api/proficiencies/87,Horn,http://www.dnd5eapi.co/api/proficiencies/88,Pan flute,http://www.dnd5eapi.co/api/proficiencies/89,Shawm,http://www.dnd5eapi.co/api/proficiencies/90,Viol,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/proficiencies/76,Forgery kit,2,proficiencies,http://www.dnd5eapi.co/api/proficiencies/105,Skill: Acrobatics,http://www.dnd5eapi.co/api/proficiencies/108,Skill: Athletics,http://www.dnd5eapi.co/api/proficiencies/110,Skill: History,http://www.dnd5eapi.co/api/proficiencies/111,Skill: Insight,http://www.dnd5eapi.co/api/proficiencies/119,Skill: Religion,http://www.dnd5eapi.co/api/proficiencies/121,Skill: Stealth
7,Paladin,,10,2,proficiencies,http://www.dnd5eapi.co/api/proficiencies/108,Skill: Athletics,http://www.dnd5eapi.co/api/proficiencies/111,Skill: Insight,http://www.dnd5eapi.co/api/proficiencies/112,Skill: Intimidation,http://www.dnd5eapi.co/api/proficiencies/114,Skill: Medicine,http://www.dnd5eapi.co/api/proficiencies/118,Skill: Persuasion,http://www.dnd5eapi.co/api/proficiencies/119,Skill: Religion,All armor,http://www.dnd5eapi.co/api/proficiencies/4,Shields,http://www.dnd5eapi.co/api/proficiencies/18,Simple weapons,http://www.dnd5eapi.co/api/proficiencies/19,Martial weapons,http://www.dnd5eapi.co/api/proficiencies/20,,,WIS,http://www.dnd5eapi.co/api/ability-scores/5,CHA,http://www.dnd5eapi.co/api/ability-scores/6,http://www.dnd5eapi.co/api/startingequipment/7,Paladin,http://www.dnd5eapi.co/api/classes/paladin/levels,Paladin,http://www.dnd5eapi.co/api/subclasses/7,Devotion,http://www.dnd5eapi.co/api/classes/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/spellcasting/4,Paladin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ranger,"Warriors of the wilderness, rangers specialize in hunting the monsters that threaten the edges of civilization--humanoid raiders, rampaging beasts and monstrosities, terrible giants and deadly dragons. They learn to track their quarry as a predator does, moving stealthily through the wilds and hiding themselves in brush and rubble. Rangers focus their combat training on techniques that are particularly useful against their specific favored foes.",10,3,proficiencies,http://www.dnd5eapi.co/api/proficiencies/106,Skill: Animal Handling,http://www.dnd5eapi.co/api/proficiencies/108,Skill: Athletics,http://www.dnd5eapi.co/api/proficiencies/111,Skill: Insight,http://www.dnd5eapi.co/api/proficiencies/113,Skill: Investigation,http://www.dnd5eapi.co/api/proficiencies/115,Skill: Nature,http://www.dnd5eapi.co/api/proficiencies/116,Skill: Perception,Light armor,http://www.dnd5eapi.co/api/proficiencies/1,Medium armor,http://www.dnd5eapi.co/api/proficiencies/2,Shields,http://www.dnd5eapi.co/api/proficiencies/18,Simple weapons,http://www.dnd5eapi.co/api/proficiencies/19,Martial weapons,http://www.dnd5eapi.co/api/proficiencies/20,STR,http://www.dnd5eapi.co/api/ability-scores/1,DEX,http://www.dnd5eapi.co/api/ability-scores/2,http://www.dnd5eapi.co/api/startingequipment/8,Ranger,http://www.dnd5eapi.co/api/classes/ranger/levels,Ranger,http://www.dnd5eapi.co/api/subclasses/8,Hunter,http://www.dnd5eapi.co/api/classes/8,http://www.dnd5eapi.co/api/proficiencies/121,Skill: Stealth,http://www.dnd5eapi.co/api/proficiencies/122,Skill: Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/spellcasting/5,Ranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Rogue,,8,4,proficiencies,http://www.dnd5eapi.co/api/proficiencies/105,Skill: Acrobatics,http://www.dnd5eapi.co/api/proficiencies/108,Skill: Athletics,http://www.dnd5eapi.co/api/proficiencies/109,Skill: Deception,http://www.dnd5eapi.co/api/proficiencies/111,Skill: Insight,http://www.dnd5eapi.co/api/proficiencies/112,Skill: Intimidation,http://www.dnd5eapi.co/api/proficiencies/113,Skill: Investigation,Light armor,http://www.dnd5eapi.co/api/proficiencies/1,Simple weapons,http://www.dnd5eapi.co/api/proficiencies/19,Longswords,http://www.dnd5eapi.co/api/proficiencies/42,Rapiers,http://www.dnd5eapi.co/api/proficiencies/46,Shortswords,http://www.dnd5eapi.co/api/proficiencies/48,DEX,http://www.dnd5eapi.co/api/ability-scores/2,INT,http://www.dnd5eapi.co/api/ability-scores/4,http://www.dnd5eapi.co/api/startingequipment/9,Rogue,http://www.dnd5eapi.co/api/classes/rogue/levels,Rogue,http://www.dnd5eapi.co/api/subclasses/9,Thief,http://www.dnd5eapi.co/api/classes/9,http://www.dnd5eapi.co/api/proficiencies/116,Skill: Perception,http://www.dnd5eapi.co/api/proficiencies/117,Skill: Performance,http://www.dnd5eapi.co/api/proficiencies/118,Skill: Persuasion,http://www.dnd5eapi.co/api/proficiencies/120,Skill: Sleight of Hand,http://www.dnd5eapi.co/api/proficiencies/121,Skill: Stealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crossbows, hand",http://www.dnd5eapi.co/api/proficiencies/54,,,Thieves' Tools,http://www.dnd5eapi.co/api/proficiencies/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sorcerer,,6,2,proficiencies,http://www.dnd5eapi.co/api/proficiencies/107,Skill: Arcana,http://www.dnd5eapi.co/api/proficiencies/109,Skill: Deception,http://www.dnd5eapi.co/api/proficiencies/111,Skill: Insight,http://www.dnd5eapi.co/api/proficiencies/112,Skill: Intimidation,http://www.dnd5eapi.co/api/proficiencies/118,Skill: Persuasion,http://www.dnd5eapi.co/api/proficiencies/119,Skill: Religion,Daggers,http://www.dnd5eapi.co/api/proficiencies/22,Quarterstaffs,http://www.dnd5eapi.co/api/proficiencies/28,Darts,http://www.dnd5eapi.co/api/proficiencies/32,Slings,http://www.dnd5eapi.co/api/proficiencies/34,,,CON,http://www.dnd5eapi.co/api/ability-scores/3,CHA,http://www.dnd5eapi.co/api/ability-scores/6,http://www.dnd5eapi.co/api/startingequipment/10,Sorcerer,http://www.dnd5eapi.co/api/classes/sorcerer/levels,Sorcerer,http://www.dnd5eapi.co/api/subclasses/10,Draconic,http://www.dnd5eapi.co/api/classes/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/spellcasting/6,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
