index,name,size,type,subtype,alignment,armor_class,hit_points,hit_dice,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,constitution_save,intelligence_save,wisdom_save,history,perception,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,languages,challenge_rating,special_abilities/0/name,special_abilities/0/desc,special_abilities/0/attack_bonus,special_abilities/1/name,special_abilities/1/desc,special_abilities/1/attack_bonus,special_abilities/2/name,special_abilities/2/desc,special_abilities/2/attack_bonus,actions/0/name,actions/0/desc,actions/0/attack_bonus,actions/1/name,actions/1/desc,actions/1/attack_bonus,actions/1/damage_dice,actions/1/damage_bonus,actions/2/name,actions/2/desc,actions/2/attack_bonus,actions/2/damage_dice,actions/2/damage_bonus,actions/3/name,actions/3/desc,actions/3/attack_bonus,legendary_actions/0/name,legendary_actions/0/desc,legendary_actions/0/attack_bonus,legendary_actions/1/name,legendary_actions/1/desc,legendary_actions/1/attack_bonus,legendary_actions/2/name,legendary_actions/2/desc,legendary_actions/2/attack_bonus,url,medicine,religion,actions/0/damage_dice,dexterity_save,charisma_save,stealth,actions/3/damage_dice,actions/3/damage_bonus,actions/4/name,actions/4/desc,actions/4/attack_bonus,actions/5/name,actions/5/desc,actions/5/attack_bonus,actions/5/damage_dice,persuasion,insight,deception,actions/6/name,actions/6/desc,actions/6/attack_bonus,actions/6/damage_dice,arcana,actions/0/damage_bonus,athletics,acrobatics,special_abilities/2/damage_dice,special_abilities/0/damage_dice,strength_save,special_abilities/1/damage_dice,special_abilities/3/name,special_abilities/3/desc,special_abilities/3/attack_bonus,reactions/0/name,reactions/0/desc,reactions/0/attack_bonus,actions/4/damage_dice,actions/4/damage_bonus,actions/5/damage_bonus,survival,special_abilities/4/name,special_abilities/4/desc,special_abilities/4/attack_bonus,investigation,nature,special_abilities/5/name,special_abilities/5/desc,special_abilities/5/attack_bonus,intimidation,legendary_actions/3/name,legendary_actions/3/desc,legendary_actions/3/attack_bonus,legendary_actions/3/damage_dice,legendary_actions/4/name,legendary_actions/4/desc,legendary_actions/4/attack_bonus,performance
1,Aboleth,Large,aberration,,lawful evil,17,135,18d10,"10 ft., swim 40 ft.",21,9,15,18,15,18,6,8,6,12,10,,,,,"darkvision 120 ft., passive Perception 20","Deep Speech, telepathy 120 ft.",10,Amphibious,The aboleth can breathe air and water.,0,Mucous Cloud,"While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 ft. of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.",0,Probing Telepathy,"If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.",0,Multiattack,The aboleth makes three tentacle attacks.,0,Tentacle,"Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.",9,2d6,5,Tail,"Melee Weapon Attack: +9 to hit, reach 10 ft. one target. Hit: 15 (3d6 + 5) bludgeoning damage.",9,3d6,5,Enslave (3/day),"The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.
Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.",0,Detect,The aboleth makes a Wisdom (Perception) check.,0,Tail Swipe,The aboleth makes one tail attack.,0,Psychic Drain (Costs 2 Actions),"One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.",0,http://www.dnd5eapi.co/api/monsters/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Acolyte,Medium,humanoid,any race,any alignment,10,9,2d8,30 ft.,10,10,10,10,14,11,,,,,,,,,,passive Perception 12,any one language (usually Common),0.25,Spellcasting,"The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared:

- Cantrips (at will): light, sacred flame, thaumaturgy
- 1st level (3 slots): bless, cure wounds, sanctuary",0,,,,,,,Club,"Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",2,,,,,,,,,,,,,,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/2,4,2,1d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Adult Black Dragon,Huge,dragon,,chaotic evil,19,195,17d12,"40 ft., fly 80 ft., swim 40 ft.",23,14,21,14,13,17,10,,6,,11,,,acid,,"blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic",14,Amphibious,The dragon can breathe air and water.,0,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,,,,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage.",11,2d10 + 1d8,6,Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.",11,2d6,6,Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.",11,Detect,The dragon makes a Wisdom (Perception) check.,0,Tail Attack,The dragon makes a tail attack.,0,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,http://www.dnd5eapi.co/api/monsters/3,,,,7,8,7,2d8,6,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,Acid Breath (Recharge 5-6),"The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.",0,12d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Adult Blue Dracolich,Huge,undead,,lawful evil,19,225,18d12,"40 ft., burrow 30 ft., fly 80 ft.",25,10,23,16,15,19,,,,,12,,necrotic,"lightning, poison","charmed, exhaustion, frightened, paralyzed, poisoned","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic",17,Legendary Resistance (3/Day),"If the dracolich fails a saving throw, it can choose to succeed instead.",0,Magic Resistance,The dracolich has advantage on saving throws against spells and other magical effects.,0,,,,Multiattack,The dracolich can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,Bite,"Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.",12,2d10 + 1d10,7,Claw,"Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.",12,2d6,7,Tail,"Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.",12,Detect,The dracolich makes a Wisdom (Perception) check.,0,Tail Attack,The dracolich makes a tail attack.,0,Wing Attack (Costs 2 Actions),"The dracolich beats its tattered wings. Each creature within 10 ft. of the dracolich must succeed on a DC 21 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. After beating its wings this way, the dracolich can fly up to half its flying speed.",0,http://www.dnd5eapi.co/api/monsters/4,,,,,,,2d8,7,Frightful Presence,"Each creature of the dracolich's choice that is within 120 feet of the dracolich and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dracolich's Frightful Presence for the next 24 hours.",0,Lightning Breath (Recharge 5-6),"The dracolich exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 20 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.",0,12d10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Adult Blue Dragon,Huge,dragon,,lawful evil,19,225,18d12,"40 ft., burrow 30 ft., fly 80 ft.",25,10,23,16,15,19,11,,7,,12,,,lightning,,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic",16,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,,,,,,,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,Bite,"Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.",12,2d10 + 1d10,7,Claw,"Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.",12,2d6,7,Tail,"Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.",12,Detect,The dragon makes a Wisdom (Perception) check.,0,Tail Attack,The dragon makes a tail attack.,0,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,http://www.dnd5eapi.co/api/monsters/5,,,,5,9,5,2d8,7,Frightful Presence,"Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,Lightning Breath (Recharge 5-6),"The dragon exhales lightning in a 90-foot line that is 5 ft. wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.",0,12d10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Adult Brass Dragon,Huge,dragon,,chaotic good,18,172,15d12,"40 ft., burrow 40 ft., fly 80 ft.",23,10,21,14,13,17,10,,6,7,11,,,fire,,"blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic",13,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,,,,,,,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,Bite,"Melee Weapon Attack: +11 to hit, reach,.0 ft., one target. Hit: 17 (2d10 + 6) piercing damage.",11,2d10,6,Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.",11,2d6,6,Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.",11,,,,,,,,,,http://www.dnd5eapi.co/api/monsters/6,,,,5,8,5,2d8,6,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,Breath Weapons (Recharge 5-6),"The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 45 (13d6) fire damage on a failed save, or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.",0,13d6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Adult Bronze Dragon,Huge,dragon,,lawful good,19,212,17d12,"40 ft., fly 80 ft., swim 40 ft.",25,10,23,16,15,19,11,,7,,12,,,lightning,,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic",15,Amphibious,The dragon can breathe air and water.,0,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,,,,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,Bite,"Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage.",12,2d10,7,Claw,"Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.",12,2d6,7,Tail,"Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.",12,Detect,The dragon makes a Wisdom (Perception) check.,0,Tail Attack,The dragon makes a tail attack.,0,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,http://www.dnd5eapi.co/api/monsters/7,,,,5,9,5,2d8,7,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,Breath Weapons (Recharge 5-6),"The dragon uses one of the following breath weapons.
Lightning Breath. The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.
Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 19 Strength saving throw. On a failed save, the creature is pushed 60 feet away from the dragon.",0,12d10,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Adult Copper Dragon,Huge,dragon,,chaotic good,18,184,16d12,"40 ft., climb 40 ft., fly 80 ft.",23,12,21,18,15,17,10,,7,,12,,,acid,,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic",14,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,,,,,,,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.",11,2d10,6,Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.",11,2d6,6,Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.",11,Detect,The dragon makes a Wisdom (Perception) check.,0,Tail Attack,The dragon makes a tail attack.,0,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,http://www.dnd5eapi.co/api/monsters/8,,,,6,8,6,2d8,6,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,Breath Weapons (Recharge 5-6),"The dragon uses one of the following breath weapons.
Acid Breath. The dragon exhales acid in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.
Slowing Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.",0,12d8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Adult Gold Dragon,Huge,dragon,,lawful good,19,256,19d12,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,24,13,,8,,14,,,fire,,"blindsight 60 ft., darkvision 120 ft., passive Perception 24","Common, Draconic",17,Amphibious,The dragon can breathe air and water.,0,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,,,,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,Bite,"Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.",14,2d10,8,Claw,"Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.",14,2d6,8,Tail,"Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.",14,Detect,The dragon makes a Wisdom (Perception) check.,0,Tail Attack,The dragon makes a tail attack.,0,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,http://www.dnd5eapi.co/api/monsters/9,,,,8,13,8,2d8,8,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,Breath Weapons (Recharge 5-6),"The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 66 (12d10) fire damage on a failed save, or half as much damage on a successful one.
Weakening Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 21 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",0,12d10,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Adult Green Dragon,Huge,dragon,,lawful evil,19,207,18d12,"40 ft., fly 80 ft., swim 40 ft.",23,12,21,18,15,17,10,,7,,12,,,poison,poisoned,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic",15,Amphibious,The dragon can breathe air and water.,0,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,,,,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage.",11,2d10 + 2d6,6,Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.",11,2d6,6,Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.",11,Detect,The dragon makes a Wisdom (Perception) check.,0,Tail Attack,The dragon makes a tail attack.,0,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,http://www.dnd5eapi.co/api/monsters/10,,,,6,8,6,2d8,6,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours .",0,Poison Breath (Recharge 5-6),"The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 56 (16d6) poison damage on a failed save, or half as much damage on a successful one.",0,16d6,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
